stage,target_nodes,growth_seed,run_offset,arm,run_seed,profile_kind,stability_kind,feature,left_count,right_count,left_median,right_median,absolute_center_shift,center_shift_range_ratio,maximum_allowed_ratio,center_stability_pass
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,start_family,residual_scc_count,4,4,2498.0,2498.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,start_family,residual_nontrivial_scc_count,4,4,160.0,160.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,start_family,largest_residual_scc_node_fraction,4,4,0.47001873828856966,0.47001873828856966,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,start_family,selected_cycle_flexible_fraction,4,4,0.630374862183021,0.630374862183021,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,start_family,source_flexible_edge_jaccard,4,4,1.0,1.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,independent_chain_seed_family,residual_scc_count,4,4,2498.0,2498.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,independent_chain_seed_family,residual_nontrivial_scc_count,4,4,160.0,160.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,independent_chain_seed_family,largest_residual_scc_node_fraction,4,4,0.47001873828856966,0.47001873828856966,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,independent_chain_seed_family,selected_cycle_flexible_fraction,4,4,0.630374862183021,0.630374862183021,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,independent_chain_seed_family,source_flexible_edge_jaccard,4,4,1.0,1.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,early_vs_late_sample_window,residual_scc_count,4,4,2498.0,2498.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,early_vs_late_sample_window,residual_nontrivial_scc_count,4,4,160.0,160.0,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,early_vs_late_sample_window,largest_residual_scc_node_fraction,4,4,0.47001873828856966,0.47001873828856966,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,early_vs_late_sample_window,selected_cycle_flexible_fraction,4,4,0.630374862183021,0.630374862183021,0.0,0.0,0.35,1
v17e,1536,9299,123078,exposure_matched_local,1993113078,residual_component,early_vs_late_sample_window,source_flexible_edge_jaccard,4,4,1.0,1.0,0.0,0.0,0.35,1
v17e,1536,9299,123403,exposure_matched_local,1993113403,residual_component,start_family,residual_scc_count,4,4,2825.0,2825.0,0.0,0.0,0.35,1
