stage,target_nodes,growth_seed,run_offset,arm,run_seed,feature,baseline_start_gap,scale_start_gap,scale_over_baseline_gap_ratio,directional_gap_contraction,preregistered_primary_metric,source_spectrum_computed,observed_effect_computed
v17e,1536,9299,123078,exposure_matched_local,1993113078,source_edge_fraction,0.29010474090407934,0.1855016538037486,0.6394299287410927,1,0,0,0
v17e,1536,9299,123078,exposure_matched_local,1993113078,concrete_conflict_fraction,0.29010474090407945,0.18536383682469681,0.6389548693586697,1,0,0,0
v17e,1536,9299,123078,exposure_matched_local,1993113078,mean_candidate_rank_fraction,0.011253016343494793,0.013290877759218778,1.1810946819518344,0,0,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,source_edge_fraction,0.24328483491885833,0.14927252378287625,0.6135710178263369,1,0,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,concrete_conflict_fraction,0.24258533855623943,0.14871292669278124,0.6130334486735874,1,0,0,0
v17e,1536,9299,123403,exposure_matched_local,1993113403,mean_candidate_rank_fraction,0.00970329865533881,0.010125464534811168,1.0435074601398648,0,0,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,source_edge_fraction,0.24453590689753057,0.14462106159523136,0.59141033081834,1,0,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,concrete_conflict_fraction,0.24254896395117798,0.14334374112971904,0.5909888823873612,1,0,0,0
v17e,1536,9299,127341,exposure_matched_local,1993117341,mean_candidate_rank_fraction,0.008533103545134757,0.00553348993818753,0.6484733144182354,1,0,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,source_edge_fraction,0.27656293804317356,0.17059153350154188,0.6168271667511402,1,0,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,concrete_conflict_fraction,0.2755817213344547,0.16961031679282312,0.6154628687690744,1,0,0,0
v17e,1536,9365,123078,exposure_matched_local,1993773078,mean_candidate_rank_fraction,0.009148458023993444,0.012280660403310328,1.3423748976168586,0,0,0,0
v17e,1536,9365,123403,exposure_matched_local,1993773403,source_edge_fraction,0.26054384017758037,0.17536071032186462,0.6730564430244945,1,0,0,0
v17e,1536,9365,123403,exposure_matched_local,1993773403,concrete_conflict_fraction,0.2584628190899001,0.17383462819089912,0.6725711218464847,1,0,0,0
v17e,1536,9365,123403,exposure_matched_local,1993773403,mean_candidate_rank_fraction,0.016333367879109495,0.015129980450144076,0.9263233744643344,1,0,0,0
v17e,1536,9365,127341,exposure_matched_local,1993777341,source_edge_fraction,0.2879843880680234,0.18302202397546707,0.635527589545015,1,0,0,0
v17e,1536,9365,127341,exposure_matched_local,1993777341,concrete_conflict_fraction,0.2875662113186507,0.1827432394758851,0.6354823073194377,1,0,0,0
v17e,1536,9365,127341,exposure_matched_local,1993777341,mean_candidate_rank_fraction,0.007847862757049795,0.007362125936073549,0.9381058466472411,1,0,0,0
