stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,chain_seed_family,chain_seed,start_endpoint_sha256,final_endpoint_sha256,total_steps,lazy_stays,nonlazy_steps,proposal_dead_end,valid_proposals,valid_old_cycles,valid_length5_cycles,reverse_supported,reverse_unsupported,accepted_cycles,accepted_old_cycles,accepted_length5_cycles,accepted_edge_work,metropolis_rejects,accepted_length_counts_json,unique_state_count,final_start_changed_edge_fraction,elapsed_seconds,minimum_valid_proposals,minimum_accepted_cycles,minimum_accepted_old_cycles,minimum_accepted_length5_cycles,minimum_unique_states,minimum_final_start_change,maximum_chain_seconds,final_assignment_integrity_pass,resource_pass,movement_pass,source_spectrum_computed,observed_effect_computed,transition_sha256
v17f,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,move_seed_e,5113208898639850474,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,b83fff1972ea1a88d45f546f3c57f45e189e42a7b3946944e5c2487401426cc3,1024,535,489,311,178,138,40,178,0,92,81,11,271,86,"{""2"":42,""3"":24,""4"":15,""5"":11}",93,0.06642778390297688,14.44430537498556,96,64,32,4,64,0.05,120.0,1,1,1,0,0,8725c64bdb8f9c6b18ff13ee03a82e89f28cc48466df49b574a564e1d3ac9012
v17f,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,move_seed_f,8977966410444501092,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,4d3007a497c2ee51c98080d6e473305cdd0bf688018ccfd19d8b196aeec1b4b0,1024,500,524,326,198,168,30,198,0,112,95,17,342,86,"{""2"":44,""3"":35,""4"":16,""5"":17}",113,0.08737596471885334,15.277538958005607,96,64,32,4,64,0.05,120.0,1,1,1,0,0,922edf03cb5420cc2cc805d187cc57452504662b404fbfe8582981ac8ad061f7
v17f,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,move_seed_e,5875284928685227964,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,0873b9ad7390ffd52af5160d8781f728699bb6b483fae3031c3e99b6366f1aaf,1024,503,521,350,171,138,33,170,1,102,85,17,305,68,"{""2"":48,""3"":24,""4"":13,""5"":17}",103,0.07442116868798232,10.035704749869183,96,64,32,4,64,0.05,120.0,1,1,0,0,0,6a06c0f6f117c912cac76b9e308fc2557678cdbdad6519dc342b60592194b9a0
v17f,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,move_seed_f,11242201458732365650,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,4df85fd7fd03d25e9e1a44846fea698070b10b3607e48fd347f5e23b1f83a196,1024,510,514,315,199,165,34,199,0,110,97,13,330,89,"{""2"":50,""3"":23,""4"":24,""5"":13}",111,0.08186328555678057,20.118772208923474,96,64,32,4,64,0.05,120.0,1,1,1,0,0,9048ed3e51d1500479bf90a52b0a01d5fe969edc0e630f6bbdba02e4a9a16d83
v17f,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,move_seed_e,5692004097873755683,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,1a2edc230ac91ceb498582b4a2b81b52af5f6d4a33e2c3443944516a4df8d738,1024,524,500,336,164,130,34,164,0,99,81,18,311,65,"{""2"":38,""3"":27,""4"":16,""5"":18}",100,0.06771124790151095,12.363857582909986,96,64,32,4,64,0.05,120.0,1,1,1,0,0,b0aa9f50bfd648f12d6c5f596fb24b1dd8ae8e4ba10f544be937b7e9d16ef192
v17f,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,move_seed_f,7237791649883977511,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,bf617e981063db81d35756975914152e0a7d4f0e22052538acbf5519bc0e7d30,1024,531,493,350,143,124,19,143,0,96,83,13,292,47,"{""2"":42,""3"":21,""4"":20,""5"":13}",97,0.07190822607722436,10.429742124862969,96,64,32,4,64,0.05,120.0,1,1,1,0,0,92e9b9de8385b9da1e537ea4d42fce92c8a555c112dbf0c0131d7736ae0772ca
v17f,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,move_seed_e,12562602737598002895,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,cfbedca69184cea7d59ddbb1707c17de32988928c2f9e25ad5e6cebee91bd22c,1024,521,503,355,148,117,31,148,0,85,70,15,258,63,"{""2"":38,""3"":21,""4"":11,""5"":15}",86,0.06323447118074987,10.983227541903034,96,64,32,4,64,0.05,120.0,1,1,1,0,0,fc3a33d357e7ff74fbd726963627cb331b286e0d19b509ee48c0e27968697941
v17f,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,move_seed_f,5525844242609226059,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,35f317c8c8f5d09fef732fd8924b9e4da34e021d42c3b33e87d2b05bf1ff95d5,1024,506,518,373,145,114,31,143,2,83,69,14,263,60,"{""2"":31,""3"":21,""4"":17,""5"":14}",84,0.06323447118074987,10.748896125005558,96,64,32,4,64,0.05,120.0,1,1,0,0,0,ba52cf863fcfbba3995032ed6965473a98a872d97b5bb39dc66d4c3757e4f1e8
v17f,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,move_seed_e,4695561281136629777,72d3541918057e5aa2abdbb544d16a56fbf7192d911e16e9702232b25845ce79,08eef34adbfb7b12531217a7194b1eb1a19490e7d8dedfad60fc4de35a71c3b3,1024,496,528,354,174,138,36,173,1,103,82,21,324,70,"{""2"":40,""3"":29,""4"":13,""5"":21}",104,0.07749077490774903,9.861058792099357,96,64,32,4,64,0.05,120.0,1,1,0,0,0,c769d713571a739c02befa12a535b87499508e0754cb7a4c6b45cf19b79b91c8
v17f,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,move_seed_f,16485278853987640872,72d3541918057e5aa2abdbb544d16a56fbf7192d911e16e9702232b25845ce79,93974e9b095b2a952e48218ff793a36126e3e858a356c84a3c89256346fd5a00,1024,522,502,349,153,121,32,153,0,85,68,17,275,68,"{""2"":32,""3"":18,""4"":18,""5"":17}",86,0.07152994606869145,9.568479584064335,96,64,32,4,64,0.05,120.0,1,1,1,0,0,bc3170509f7c4f43cb22883a76076f10417651228fb9571dd9d628a7b7391a97
