stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,chain_seed_family,step,proposal_sha256,cycle_length,mapped_batch_valid_pass,frozen_search_limit,frozen_eligible_first_count,reverse_first_eligible_pass,reverse_raw_path_valid_pass,reverse_suffix_supported_pass,reverse_closure_supported_pass,frozen_search_states,frozen_search_budget_exhaustions,failure_reason,expanded_search_limit,expanded_search_recovers_reverse_support,source_spectrum_computed,observed_effect_computed
v17f,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,move_seed_e,270,2e76db4833d1b449de27b2376de2c90d7c2b32dcd8e47392d1568e1ccf693223,5,1,20000,1,0,1,0,0,20196,290,reverse_first_search_budget_exhausted,200000,1,0,0
v17f,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,move_seed_f,426,69c6db9f9510aca2c5c94dee6dc9c12d87ab606380526d128989a6ad83d792d3,5,1,20000,0,0,1,0,0,20015,1504,reverse_first_search_budget_exhausted,200000,1,0,0
v17f,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,move_seed_f,713,a867cc46b16a8cf8bdd0fae98c183210d92b07d0df4d8987bf7e1b04e06cec33,5,1,20000,1,0,1,0,0,20076,412,reverse_first_search_budget_exhausted,200000,1,0,0
v17f,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,move_seed_e,796,18a7868206c3f34f46936448940b609fdeffa84d7f004fbfd3a543b0fa26add2,5,1,20000,1,1,1,0,1,20009,1915,reverse_suffix_missing_from_bounded_support,200000,1,0,0
v17f,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,move_seed_f,827,3b3dd25d1f026ca009be7f19743c278fffe14f7633d5120c81f0fe73ad586b70,5,1,20000,1,1,1,0,1,60009,3514,reverse_suffix_missing_from_bounded_support,200000,1,0,0
v17f,1536,9365,123078,exposure_matched_local,1993773078,v16x_random_cost_a0,move_seed_e,295,6ecfa0440bc6113e563c2aafe0070251e710c5061da9c5dd0c0aaead6a244393,5,1,20000,0,0,1,0,0,20004,1553,reverse_first_search_budget_exhausted,200000,0,0,0
v17f,1536,9365,123078,exposure_matched_local,1993773078,v16x_random_cost_a0,move_seed_f,515,f546ae3568a77d60ce8b67ae574d4be724c1670a000f08efe2d7e27fd5952750,5,1,20000,2,0,1,0,0,29116,1734,reverse_first_search_budget_exhausted,200000,1,0,0
v17f,1536,9365,123403,exposure_matched_local,1993773403,source_assignment,move_seed_e,207,5dcb8b677a3dccb4a10345ba5453d7ddd8dfe109403bcc901692ffd7bcec1ab2,5,1,20000,1,1,1,0,1,23928,117,reverse_suffix_missing_from_bounded_support,200000,1,0,0
v17f,1536,9365,123403,exposure_matched_local,1993773403,source_assignment,move_seed_e,428,d75bcb52e19a3ba88b953c8ef9c7240457a17877afbd1b48366d042d58da4963,5,1,20000,1,0,1,0,0,20476,1546,reverse_first_search_budget_exhausted,200000,0,0,0
v17f,1536,9365,123403,exposure_matched_local,1993773403,v16x_random_cost_a0,move_seed_f,735,d00f4f6017eecdc76d1ac5416ec5fc06d17b4cc6ba7add95f2c1d8b9d75a65e2,5,1,20000,0,0,1,0,0,20003,1525,reverse_first_search_budget_exhausted,200000,1,0,0
v17f,1536,9365,127341,exposure_matched_local,1993777341,v16x_random_cost_a0,move_seed_f,947,1d9404d9a5c19c2e87adecac51895f5acfe3c22fafeb552fe2564559f9d2b073,5,1,20000,2,1,1,0,1,20022,1761,reverse_suffix_missing_from_bounded_support,200000,1,0,0
