stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,cycle_length,attempts,proposal_sha256,first_batch_sha256,eligible_first_count,q_forward_numerator,q_forward_denominator,q_reverse_numerator,q_reverse_denominator,reverse_support_pass,reverse_recovery_pass,batch_roundtrip_pass,old_kernel_one_step_unsupported_pass,pathwise_detailed_balance_pass,forward_search_states,reverse_search_states
v17g,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,5,9,4bb9da9a2f17be0dd8ed2cda751ef30dd7f153ac708fec706d280a28fdfd33da,915e30bd7cec20c972f5f5d1de15c3b1874d85ed7a02c6a9837ce14e550d2baa,1,1,19371741597936000,1,168119043153516000,1,1,1,1,1,29,59
v17g,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,5,4,54f363832d4f01ece461b87151770ec06f137ccb487f00a70b38e74eb148e655,b888ad465f498167a05b6813d8a488b47fd1a6f7f7d299b986aacb49cd5f7f16,2,1,193717415979360000,1,504357129460548000,1,1,1,1,1,71,63
v17g,1536,9299,123403,exposure_matched_local,1993113403,source_assignment,5,38,cf2a4555729920dcddc09521e497966b000c75747d3cf1f24cdcb5c92b065f71,628c7f41db064d0db413047fe882be2421a362a12552b71c79865f2ebacd5eed,1,1,1303103321520192,1,4560861625320672,1,1,1,1,1,45,135
v17g,1536,9299,123403,exposure_matched_local,1993113403,v16x_random_cost_a0,5,2,f7a605d420f19e6755f5bd76f966e2108ef632322ec810134ffbb758b232da67,0fd2ded630ed544b3ed764acd9c7aac739b7a0bbc74d1b29aed510017f0eb1bc,2,1,325837076236159449024,1,997460437457630966400,1,1,1,1,1,206,225
v17g,1536,9299,127341,exposure_matched_local,1993117341,source_assignment,5,10,369ccab70094c2fd1d5ba4f9dc5c676c3d53554713bbfe79ea7fd21823f8c844,afe13f272e62efcfd1b6c01167b057d265b0f9c9905135696b34510c17990e23,3,1,138405450351168000,1,87841325822874624000,1,1,1,1,1,77,18767
v17g,1536,9299,127341,exposure_matched_local,1993117341,v16x_random_cost_a0,5,1,49a1633aec0b600b59b4f0f796dc8ca3eddb77a25e581289374344871f096ec5,4983ab4cfb8766e1e079c25de71a31e6948121faa53b782e5fd9e6ff77abbac0,2,1,19684330716610560,1,14763248037457920,1,1,1,1,1,400,397
v17g,1536,9365,123078,exposure_matched_local,1993773078,source_assignment,5,1,b8041b62d7d35d2c6d03bf3844396e12be30cf18ff5b631403a210670f255848,5b035ab0919f62a16cf8dae052bd0a94cc69cb17451485f55248a60e0280f1d5,1,1,139635363592961280,1,576965564845916400,1,1,1,1,1,18,252
v17g,1536,9365,123078,exposure_matched_local,1993773078,v16x_random_cost_a0,5,4,98aaf8bd22441ad64dfa5267e71f085ab5d8ec8337d156aa337c76f9cef66e30,c10d151906858c58febf02a5b785aab2d12c3e867942c410a6bbc98b8bac7fbb,3,1,279270727185922560,1,44124774895375764480,1,1,1,1,1,99,11265
v17g,1536,9365,123403,exposure_matched_local,1993773403,source_assignment,5,12,10a50c5538815548df50d92c0ac8748a183c18c4a2ebf3a7818b637591ff628a,a77cb98cd9ef807c35d548889947cf43d119971ede4da464712f9720f83dddeb,1,1,218283483458911104,1,16989731129218580928,1,1,1,1,1,349,14374
v17g,1536,9365,123403,exposure_matched_local,1993773403,v16x_random_cost_a0,5,2,bf7d8f6093083cbaffd9e70bfc52146d999b43194458909dfe54152904d703e7,2035d6bac9a1371ec616b89c16fd2d75eeac64b36e18a7cd1355c924c67aa71a,1,1,60634300960808640,1,533581848455116032,1,1,1,1,1,15,14
v17g,1536,9365,127341,exposure_matched_local,1993777341,source_assignment,5,1,d1be2d3f07ca7152ed1e2b4d0687a36cd390c6c8cdfc610be381c145a41dc226,085847556676385a7b872a38c6470d103096275bd69f86443ac075c4a4138aee,2,1,6050270971228323840,1,23561151378341068800,1,1,1,1,1,2324,2221
v17g,1536,9365,127341,exposure_matched_local,1993777341,v16x_random_cost_a0,5,9,f3401ca556415bc76538e15d668c95387a7698e45898b985ad3e9be0f147b518,eaca8e9c7774b24e4c05d94b4d8ec7f52a1fc20b8b7d38e8ed3eaa59ee94a887,3,1,1874182496004403200,1,4596209454486988800,1,1,1,1,1,517,532
