stage,growth_seed,run_offset,start_family,chain_seed_family,trace_rows,raw_generation_parity_rows,expected_raw_generation_parity_rows,event_reclassification_parity_rows,expected_event_reclassification_parity_rows,v17f_reverse_unsupported,v17g_reverse_filtered_dead_end,filtered_auxiliary_identity_pass,count_relation_pass,accepted_transition_parity_pass,final_endpoint_parity_pass,v17f_accepted_transition_sha256,v17g_accepted_transition_sha256,v17f_final_endpoint_sha256,v17g_final_endpoint_sha256,source_spectrum_computed,observed_effect_computed
v17g,9299,123078,source_assignment,move_seed_e,1024,1024,1024,1024,1024,0,0,1,1,1,1,f0400a73e2e89691f2dfe7461856629965a7219308ccd7d6639895d49222324f,f0400a73e2e89691f2dfe7461856629965a7219308ccd7d6639895d49222324f,b83fff1972ea1a88d45f546f3c57f45e189e42a7b3946944e5c2487401426cc3,b83fff1972ea1a88d45f546f3c57f45e189e42a7b3946944e5c2487401426cc3,0,0
v17g,9299,123078,source_assignment,move_seed_f,1024,1024,1024,1024,1024,0,0,1,1,1,1,55b498cfeab9b580594093e9742514b2a4c2fcf4695106374dbe772f2f83ad91,55b498cfeab9b580594093e9742514b2a4c2fcf4695106374dbe772f2f83ad91,4d3007a497c2ee51c98080d6e473305cdd0bf688018ccfd19d8b196aeec1b4b0,4d3007a497c2ee51c98080d6e473305cdd0bf688018ccfd19d8b196aeec1b4b0,0,0
v17g,9299,123078,v16x_random_cost_a0,move_seed_e,1024,1024,1024,1024,1024,1,1,1,1,1,1,8992c795f024a80a3c5ac290b5d025e5301e1548f6807dc149889e98630f8b1f,8992c795f024a80a3c5ac290b5d025e5301e1548f6807dc149889e98630f8b1f,0873b9ad7390ffd52af5160d8781f728699bb6b483fae3031c3e99b6366f1aaf,0873b9ad7390ffd52af5160d8781f728699bb6b483fae3031c3e99b6366f1aaf,0,0
v17g,9299,123078,v16x_random_cost_a0,move_seed_f,1024,1024,1024,1024,1024,0,0,1,1,1,1,c7c8e7d12a10f588c7828297096e4558d88a5a3c6e28f6f7d3ed19256805832a,c7c8e7d12a10f588c7828297096e4558d88a5a3c6e28f6f7d3ed19256805832a,4df85fd7fd03d25e9e1a44846fea698070b10b3607e48fd347f5e23b1f83a196,4df85fd7fd03d25e9e1a44846fea698070b10b3607e48fd347f5e23b1f83a196,0,0
v17g,9299,123403,source_assignment,move_seed_e,1024,1024,1024,1024,1024,0,0,1,1,1,1,a3b2514d5f695ec54582b826a4ab2a609aa237d52482fcc02c50f29ae0a3077f,a3b2514d5f695ec54582b826a4ab2a609aa237d52482fcc02c50f29ae0a3077f,1a2edc230ac91ceb498582b4a2b81b52af5f6d4a33e2c3443944516a4df8d738,1a2edc230ac91ceb498582b4a2b81b52af5f6d4a33e2c3443944516a4df8d738,0,0
v17g,9299,123403,source_assignment,move_seed_f,1024,1024,1024,1024,1024,0,0,1,1,1,1,cf8f70170d20f05f305bbe865dba035d5b76831fff18b784890e7b329052be04,cf8f70170d20f05f305bbe865dba035d5b76831fff18b784890e7b329052be04,bf617e981063db81d35756975914152e0a7d4f0e22052538acbf5519bc0e7d30,bf617e981063db81d35756975914152e0a7d4f0e22052538acbf5519bc0e7d30,0,0
v17g,9299,123403,v16x_random_cost_a0,move_seed_e,1024,1024,1024,1024,1024,0,0,1,1,1,1,4b3f10bb0ac3352e98b20fb749650a4e543b23d9e11b5697c802609cb10e88cf,4b3f10bb0ac3352e98b20fb749650a4e543b23d9e11b5697c802609cb10e88cf,cfbedca69184cea7d59ddbb1707c17de32988928c2f9e25ad5e6cebee91bd22c,cfbedca69184cea7d59ddbb1707c17de32988928c2f9e25ad5e6cebee91bd22c,0,0
v17g,9299,123403,v16x_random_cost_a0,move_seed_f,1024,1024,1024,1024,1024,2,2,1,1,1,1,e3eb6c56980e37be7ec3960be33259fcbecda044739c08d90b45e6d291c7ebc2,e3eb6c56980e37be7ec3960be33259fcbecda044739c08d90b45e6d291c7ebc2,35f317c8c8f5d09fef732fd8924b9e4da34e021d42c3b33e87d2b05bf1ff95d5,35f317c8c8f5d09fef732fd8924b9e4da34e021d42c3b33e87d2b05bf1ff95d5,0,0
v17g,9299,127341,source_assignment,move_seed_e,1024,1024,1024,1024,1024,1,1,1,1,1,1,bb1499001a928a016d7589aef4a76af283c6bc33b35da3100bbff0adf029e691,bb1499001a928a016d7589aef4a76af283c6bc33b35da3100bbff0adf029e691,08eef34adbfb7b12531217a7194b1eb1a19490e7d8dedfad60fc4de35a71c3b3,08eef34adbfb7b12531217a7194b1eb1a19490e7d8dedfad60fc4de35a71c3b3,0,0
v17g,9299,127341,source_assignment,move_seed_f,1024,1024,1024,1024,1024,0,0,1,1,1,1,8cebdd8986a0737d6eeb651e30935aaffdfaad24bbf77ef00bf542e492b6ca5d,8cebdd8986a0737d6eeb651e30935aaffdfaad24bbf77ef00bf542e492b6ca5d,93974e9b095b2a952e48218ff793a36126e3e858a356c84a3c89256346fd5a00,93974e9b095b2a952e48218ff793a36126e3e858a356c84a3c89256346fd5a00,0,0
