stage,target_nodes,growth_seed,run_offset,arm,run_seed,kernel_arm,start_family,chain_seed_family,chain_seed,start_endpoint_sha256,final_endpoint_sha256,attempts,maximum_attempts,lazy_stays,nonlazy_attempts,proposal_dead_end,raw_proposals,reverse_filtered_dead_end,reverse_unsupported,valid_proposals,retained_reverse_supported,accepted_cycles,accepted_old_cycles,accepted_length5_cycles,accepted_edge_work,accepted_edge_work_target,work_boundary_rejects,metropolis_rejects,accepted_length_counts_json,unique_state_count,final_start_changed_edge_fraction,elapsed_seconds,final_assignment_integrity_pass,matched_work_pass,retained_reverse_support_pass,movement_pass,resource_pass,source_spectrum_computed,observed_effect_computed
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,source_assignment,matched_work_seed_g,3338311307147533447,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,de103d29eccfe13c5a09d23a6ae7b7804668e421ede9eda0944c065bbf533491,444,4096,222,222,106,116,0,0,116,116,71,71,0,192,192,0,45,"{""2"":35,""3"":22,""4"":14}",72,0.049338478500551286,13.265272208955139,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,source_assignment,matched_work_seed_h,558311606885200481,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,0a07b7e1068f3625125d829d8aa6b65991dc09689225cb07adaebb6217c46ff8,508,4096,259,249,114,135,0,0,135,135,73,73,0,192,192,6,56,"{""2"":38,""3"":24,""4"":11}",74,0.049889746416758585,16.42185404105112,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,v16x_random_cost_a0,matched_work_seed_g,12743124754316137523,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,fad03c113a22667859cf9e5e6dd944b84ce4563179a04ea4aef78f3c929803d4,437,4096,203,234,101,133,0,0,133,133,72,72,0,192,192,1,60,"{""2"":38,""3"":20,""4"":14}",73,0.049889746416758585,10.533627375029027,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,v16x_random_cost_a0,matched_work_seed_h,3568524275077329254,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,5dfa39ef5e2b0727b8138b0c3f3669153cb2ac72958378b6b84ea849a40d1b3f,547,4096,278,269,124,145,0,0,145,145,73,73,0,192,192,3,69,"{""2"":43,""3"":14,""4"":16}",74,0.047960308710033095,11.42426345916465,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,source_assignment,matched_work_seed_g,3151165493123035530,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,f80b322b100882ccc47288bc35d0c971cf0286aa65f8beac07859ce55c1e92d2,671,4096,331,340,234,106,0,0,106,106,62,53,9,192,192,0,44,"{""2"":24,""3"":17,""4"":12,""5"":9}",63,0.049338478500551286,11.395951916929334,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,source_assignment,matched_work_seed_h,12096202207198733555,29c2c476576d198ace87920e082144e9710b0e53cac54246adbdde8c213ea3ed,c031afd7712335557ca7c448c05956e2e7a6b67563d47a19530e6cbd0776e8bd,550,4096,281,269,163,106,0,0,106,106,60,50,10,192,192,2,44,"{""2"":20,""3"":18,""4"":12,""5"":10}",61,0.04823594266813669,8.174762332811952,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,v16x_random_cost_a0,matched_work_seed_g,5548604437375375408,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,cc0e45cc746ff040f7d82a69ccc37c3e73bdd50f909a678b60364b4dcdde84a2,653,4096,320,333,210,123,0,0,123,123,67,56,11,192,192,0,56,"{""2"":37,""3"":13,""4"":6,""5"":11}",68,0.04823594266813669,10.465229208115488,1,1,1,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,v16x_random_cost_a0,matched_work_seed_h,12054287401700113533,0e4e4ed0e7e11378ce5a8ddd993efbde67de91f1f0991e725983e30cbf9e65ea,5fbb8b6e9b1a2b6d8fc05c8c249e4ff7b195545bec135861173656d1f1cb8b48,751,4096,392,359,238,121,0,0,121,121,64,55,9,192,192,3,54,"{""2"":26,""3"":21,""4"":8,""5"":9}",65,0.04823594266813669,11.394843957852572,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,old_length_2_4,source_assignment,matched_work_seed_g,1256898371402145447,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,7628a696a756db20bae52578bc4978110b2567afc34a1870349713edd73f1897,469,4096,235,234,120,114,0,0,114,114,70,70,0,192,192,0,44,"{""2"":32,""3"":24,""4"":14}",71,0.04700615556799104,6.857028750004247,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,old_length_2_4,source_assignment,matched_work_seed_h,10046077518668817797,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,ddf07bbb60a9ef01a3aaef06c2ed1a166af8a4e60ceeec42c43651b4a8ce5bdd,460,4096,228,232,111,121,0,0,121,121,70,70,0,192,192,1,50,"{""2"":34,""3"":20,""4"":16}",71,0.045607162842753235,7.643513791961595,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,old_length_2_4,v16x_random_cost_a0,matched_work_seed_g,15197269515665800905,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,2d396c0b046f1c9ed674470cb50d633f3ba3ab7b7d736b5057ba99746e0f4ae6,435,4096,227,208,105,103,0,0,103,103,71,71,0,192,192,0,32,"{""2"":41,""3"":10,""4"":20}",72,0.04952434247341919,7.169617458013818,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,old_length_2_4,v16x_random_cost_a0,matched_work_seed_h,3192700809856196266,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,a5ad2e3200d7aad7af70c620fa0fd77cef08940dab8e23878b1486e16cea4c5f,410,4096,203,207,104,103,0,0,103,103,69,69,0,192,192,0,34,"{""2"":31,""3"":22,""4"":16}",70,0.05008393956351431,7.15904612489976,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,expanded_reverse_closed_length_2_5,source_assignment,matched_work_seed_g,17527444745974204414,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,f527ad96800493c12cbb13834bd753219fb36a9e41fa7790011194a229c16361,887,4096,473,414,288,126,0,0,126,126,56,46,10,192,192,15,55,"{""2"":11,""3"":20,""4"":15,""5"":10}",57,0.04840514829322884,11.128806916996837,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,expanded_reverse_closed_length_2_5,source_assignment,matched_work_seed_h,13829293728829825085,5470a8e7a191ebcceffeb66eab18e688dd9539c1b6ecd6130e8d14d10b744d32,7de9caebf078d2a06c4394f41ec64c48595b29324756b6376abb3d02a6108a72,817,4096,429,388,278,110,0,0,110,110,66,57,9,192,192,0,44,"{""2"":35,""3"":11,""4"":11,""5"":9}",67,0.04756575265808616,7.5186901250854135,1,1,1,1,1,0,0
v17h,1536,9299,123403,exposure_matched_local,1993113403,expanded_reverse_closed_length_2_5,v16x_random_cost_a0,matched_work_seed_g,16737830338897430075,f9430db811d539f52a31fb9c0393b23a0d0735507812789a95273a1d89b57960,7b1bb207084c356a991053fa0e4c59f7502c9e5fc59a80a3bba04105fe248004,735,4096,348,387,275,113,1,0,112,112,61,50,11,192,192,4,47,"{""2"":21,""3"":21,""4"":8,""5"":11}",62,0.04896474538332396,9.21893816604279,1,1,1,1,1,0,0
