stage,target_nodes,growth_seed,run_offset,arm,run_seed,kernel_arm,relation,left_start_family,left_chain_seed_family,right_start_family,right_chain_seed_family,left_endpoint_sha256,right_endpoint_sha256,changed_edge_fraction,source_spectrum_computed,observed_effect_computed
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,within_start,source_assignment,matched_work_seed_g,source_assignment,matched_work_seed_h,de103d29eccfe13c5a09d23a6ae7b7804668e421ede9eda0944c065bbf533491,0a07b7e1068f3625125d829d8aa6b65991dc09689225cb07adaebb6217c46ff8,0.08654906284454245,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,cross_start,source_assignment,matched_work_seed_g,v16x_random_cost_a0,matched_work_seed_g,de103d29eccfe13c5a09d23a6ae7b7804668e421ede9eda0944c065bbf533491,fad03c113a22667859cf9e5e6dd944b84ce4563179a04ea4aef78f3c929803d4,0.4434950385887541,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,cross_start,source_assignment,matched_work_seed_g,v16x_random_cost_a0,matched_work_seed_h,de103d29eccfe13c5a09d23a6ae7b7804668e421ede9eda0944c065bbf533491,5dfa39ef5e2b0727b8138b0c3f3669153cb2ac72958378b6b84ea849a40d1b3f,0.4421168687982359,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,cross_start,source_assignment,matched_work_seed_h,v16x_random_cost_a0,matched_work_seed_g,0a07b7e1068f3625125d829d8aa6b65991dc09689225cb07adaebb6217c46ff8,fad03c113a22667859cf9e5e6dd944b84ce4563179a04ea4aef78f3c929803d4,0.4445975744211687,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,cross_start,source_assignment,matched_work_seed_h,v16x_random_cost_a0,matched_work_seed_h,0a07b7e1068f3625125d829d8aa6b65991dc09689225cb07adaebb6217c46ff8,5dfa39ef5e2b0727b8138b0c3f3669153cb2ac72958378b6b84ea849a40d1b3f,0.44707828004410144,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,old_length_2_4,within_start,v16x_random_cost_a0,matched_work_seed_g,v16x_random_cost_a0,matched_work_seed_h,fad03c113a22667859cf9e5e6dd944b84ce4563179a04ea4aef78f3c929803d4,5dfa39ef5e2b0727b8138b0c3f3669153cb2ac72958378b6b84ea849a40d1b3f,0.0912348401323043,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,within_start,source_assignment,matched_work_seed_g,source_assignment,matched_work_seed_h,f80b322b100882ccc47288bc35d0c971cf0286aa65f8beac07859ce55c1e92d2,c031afd7712335557ca7c448c05956e2e7a6b67563d47a19530e6cbd0776e8bd,0.08902976846747519,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,cross_start,source_assignment,matched_work_seed_g,v16x_random_cost_a0,matched_work_seed_g,f80b322b100882ccc47288bc35d0c971cf0286aa65f8beac07859ce55c1e92d2,cc0e45cc746ff040f7d82a69ccc37c3e73bdd50f909a678b60364b4dcdde84a2,0.4360529217199559,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,cross_start,source_assignment,matched_work_seed_g,v16x_random_cost_a0,matched_work_seed_h,f80b322b100882ccc47288bc35d0c971cf0286aa65f8beac07859ce55c1e92d2,5fbb8b6e9b1a2b6d8fc05c8c249e4ff7b195545bec135861173656d1f1cb8b48,0.441289966923925,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,expanded_reverse_closed_length_2_5,cross_start,source_assignment,matched_work_seed_h,v16x_random_cost_a0,matched_work_seed_g,c031afd7712335557ca7c448c05956e2e7a6b67563d47a19530e6cbd0776e8bd,cc0e45cc746ff040f7d82a69ccc37c3e73bdd50f909a678b60364b4dcdde84a2,0.4410143329658214,0,0
