stage,target_nodes,growth_seed,run_offset,arm,run_seed,mask_index,mask_seed,mask_sha256,enabled_cycle_count,left_endpoint_sha256,right_complement_endpoint_sha256,complement_endpoint_identity_pass,endpoint_integrity_pass,source_spectrum_computed,observed_effect_computed
v17h,1536,9299,123078,exposure_matched_local,1993113078,0,5685354980148262159,e3ad40028eb1858f7bc55332e2e5609370db5bc295d29ab1862930726f692fb2,179,88bba485ec8c86f251072c744df5abfe88fc5b94accfe4c7c4e93a222a0a92e9,88bba485ec8c86f251072c744df5abfe88fc5b94accfe4c7c4e93a222a0a92e9,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,1,10505275011123445851,f1b7d16baafcb4e2b78f8e3061e27bd2a7601122829cecb9c8cd7dc0ab68c20d,172,c85db459114dcbe5d95f2e0515eb4bc6268c1846b8411f1b9b585e54935779cb,c85db459114dcbe5d95f2e0515eb4bc6268c1846b8411f1b9b585e54935779cb,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,2,3546938857210125651,36d5b93a0e2b6efca6b491776b6af619a66a70bfbc3dbe8269ce6bbe2411c2be,180,4762a89eb94785857ff4931832561c4c9ecd709101cb16f5290aa9af9c24896e,4762a89eb94785857ff4931832561c4c9ecd709101cb16f5290aa9af9c24896e,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,3,13114362207235585565,1c9dcdfc965d28aea45d3bba0b6f1f6f16bbdf542009e02c2fc25feb6ade5eee,176,5fdca70fe81539ab1ef7b5ac3af00532d0789b9be4260cae30c7eeb15303f99d,5fdca70fe81539ab1ef7b5ac3af00532d0789b9be4260cae30c7eeb15303f99d,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,4,14404768409235116793,3d807d43bfa2fde266485a6de9451998a43c9cf7aa9e4f3e14057bbc48db02b8,177,0d836faf8e7b795afe503dc34782299d4f0b8de56f8108e244e05d39ca712026,0d836faf8e7b795afe503dc34782299d4f0b8de56f8108e244e05d39ca712026,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,5,8688669475415922883,e844c65033e842c7de6296bb322ecc16c52053fabead971e4a700fd14e1667a8,180,085cc94965960c8e96e41cadd3a5f9f59da391151ccb2e1b4da1c930b25c49dc,085cc94965960c8e96e41cadd3a5f9f59da391151ccb2e1b4da1c930b25c49dc,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,6,13741940670309251876,14e5607fdeb5239ccd765d6df92d0ad05561ee26b3484480ed9ed073fee396cb,165,65a3a4d3b20cca6047d9b7e288f3d9cf2c6d955cffe51e02294eab7f7ea82dd2,65a3a4d3b20cca6047d9b7e288f3d9cf2c6d955cffe51e02294eab7f7ea82dd2,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,7,8669937800964395086,3ea22362382d68847fe24ddf9240472dab42ed424df139eae2f0c4fa4662ca15,177,b84cda731f55c328a3e92411c5277062a76ec4fb809d209d119a9787378334b9,b84cda731f55c328a3e92411c5277062a76ec4fb809d209d119a9787378334b9,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,8,12947327937391787064,f8390fd59c1bbee1cc6196dd40368444f8578c6203f91a4dfdcb34479b88a115,163,00cecf386eb998a7f22b385ad859bb76f26883e2ed196812b3254d089b7d446f,00cecf386eb998a7f22b385ad859bb76f26883e2ed196812b3254d089b7d446f,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,9,2238769599584189503,23a387a3861c71f28d6c58948590c29c99d464eabea945ef0fc40f5fe3c309cb,188,ed9dab58468fd0f18345d6c1525b93f160cfb4557ff66793b54e00dc54518e59,ed9dab58468fd0f18345d6c1525b93f160cfb4557ff66793b54e00dc54518e59,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,10,4722934758810882931,344038024977768474b8311cc6a2dfa046c8f51690305c345e91f07ee20022b1,180,d4ed5d71b85a07d7bca12c6f041680e99f346e0b38e4b04469a922f3cfe7cd15,d4ed5d71b85a07d7bca12c6f041680e99f346e0b38e4b04469a922f3cfe7cd15,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,11,17307941095389629616,f0b82eb2a2fcf9cbdc786961c62764b0c93f5d812b072370c51b7267ceef8115,167,eb2e60828c0d366afdb06f911d6dd5a24cb41fcb2a430f0135827846404971cc,eb2e60828c0d366afdb06f911d6dd5a24cb41fcb2a430f0135827846404971cc,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,12,4970307982044638914,edda7cf60dd6912ea81ac772a1a801330753e1fdb27ea14d3b12e30a9f044c09,173,0c3a206864f90873a244d2be96b23c2d3dcd56641a27cc2aa7140eba74b7c8d5,0c3a206864f90873a244d2be96b23c2d3dcd56641a27cc2aa7140eba74b7c8d5,1,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,13,9585620370272544035,7c5fc3acc436426a181a963fdc6e32e63260f27c57ae04a57ba51b13160de546,180,ee0df13c206f109fba71b6f86bdca810b1be7628041e160873b6faac03a3168a,ee0df13c206f109fba71b6f86bdca810b1be7628041e160873b6faac03a3168a,1,1,0,0
