stage,target_nodes,growth_seed,run_offset,arm,run_seed,start_family,mask_index,mask_seed,mask_sha256,cycle_count,enabled_cycle_count,endpoint_sha256,start_changed_edge_fraction,endpoint_integrity_pass,source_spectrum_computed,observed_effect_computed
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,0,14769457205026668765,23f28b24e56fbb3f061fe324836deb82bb7462ba66de9a73ae1838da2d68123d,347,189,db29c9b83a2675a6004ac839d8e0be28c816130bdb61064b21a9a803b77cba82,0.240077177508269,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,1,243698783834604034,d143e1988ed36cb122e262791335b79a0dfcad7fccb6b215304ea5d3ea8cef5c,347,166,8d2c531554b11c01f540ea03bc81c35dc5d4e92e7ce93f00935c12bd7dca99d6,0.20562293274531424,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,2,4091722595662618865,05660efe9d4e0212bb82cfbe15cd3cbc84bcb67178ef73bbc8f0eff2bec905b4,347,172,c7a2a7e4c52e234f5fa5314be19b639498fa58ce226b58bbabfc6cfe216489ef,0.21830209481808158,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,3,3190105406337316926,496cd523919c5aa263b9c06596daa929124c2c4c823fee740c2a7e0056ad09a2,347,167,3532e00153fce5c7ab33e5fee5ea46e6dc7d579a0dbde9985405f7e52ac4c545,0.22188533627342888,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,4,1046734215779597503,403e5a90a1f933766f127ef9b4bb572ac40496ab6bb8ef03b500ff2ad6485e22,347,171,06598216b33f740f6c172de73eeccc5508b644d9ce414089788e425ffdf98700,0.26212789415656007,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,5,11225614324008252647,763db526d32e3b7ecec17ed3d869bffce51e90086e8936a0d834cca80afce4f5,347,177,8766b278bbfbd04987002ad25ff2a11a0f2398b98a9e9a5c7b11be7fa1a64f29,0.22932745314222713,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,6,12693916543051024878,3fe032e1314ff46d768c0dc889a50b5734e8f2c30f7b2a96ed8c0bce9480554b,347,168,a1efbdb76144ff79b760628cc4d09a73640b4ab18553d45310e4ce70a7b3f347,0.2276736493936053,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,7,14474936550762082451,ebbe075a76b9d33e0cb35f685f24a4b7f0654307041a47c22226230f0d7adece,347,165,57f42bed97d8aad4eb2c29906e28a33e300fa2e9e8cf5f3b3670e9071c5477b1,0.2089305402425579,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,8,13633479506941898093,0b60792993382821711e500713034a34241ded56bbb6508cdd9aa4644ac5fd34,347,171,7f3dbb22eb8e650a60b3692805040d3488149a554de9378ee23580f926f4337e,0.24035281146637266,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,9,1494976403971161402,a0d8a9fb1455fe0b6b3902592afce66abda3f95fa030cd40d548d2cd23855886,347,172,b19547d1cf393ecf03f3666ed1b8ac1d4d27cbdd761bcdcb1dac8bf551859c9a,0.25027563395810365,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,10,7159562324756435728,8954a6fbe9e78963d01abcd1032df46795bd1589ac59a42c61b03f1a8af64edb,347,177,aa5ba73cfea46003880e39bedc7b1162bec783f3186bd223b503b00c8074168b,0.2285005512679162,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,11,16782333602668017553,c9b1abd46c19966e11b5135dd46a9b56ece12bc9506d4e851f794240a719a690,347,189,d9da1e5b5924a941f9d161627af78ea2bc2331379a31c2720085f374a2d0cd07,0.22684674751929437,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,12,13897256285725845797,9ad28d86918cfcf5826714964e21b393df77d3358f0b73529758ef2110fa53f2,347,170,2d7e1f97144f4440ae28cf5236d7b6442b67500446dfe68111e0bc0bb88f73b3,0.2213340683572216,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,13,2697763400432453276,f43b00c4ebe2604115a2462394973792d346e62ac0fde072a99ad0fa9c140cdf,347,168,d80dfe374b16478d22cef236fd4d78c507c9f3cf90c49179538c4086a88365da,0.22877618522601983,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,14,5979918029725609294,ef00a4e0fa8bb56140623b8f80315c2d37d331d052d09f5c30aefaa5219dabb2,347,164,181a4f476972a2a6baf01a04091c089791aec43a138e2cb2366cedb78f67e37a,0.1824696802646086,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,source_assignment,15,84916126630317248,8d174594512a2a6685302fa90e999a387c909120460c1bd21fe3a73e50a3d5db,347,161,c485e76034bbc75ec6a202fc8ee664b568b2fe15614121b28f83b4d90c42516f,0.22436604189636164,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,0,15442902205892958237,0a2a033cb1b5eae6594bc2b184773e1dfdb9ef82d67abb11d14e4fe534731aa9,347,166,fab8fa3eeeadc8a5cbbfa8b54355ebe70fbf74fc3104561b780f90b651774f5c,0.19073869900771775,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,1,11844914190596417938,fd8ceb2b1eba252e50d2eabba2028dc194303ec1b602338aeb4e7e53f9afe0bd,347,181,565e04bcde47961aa5990cba340de3b7e3e5f5a1115d89f8482d3fb4e0b81520,0.22326350606394707,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,2,1729521358952992279,8cb0e30edacf2807a9355f44ce9fbd983929ad0b9e90a0ee1636ea78ec1604e0,347,178,39e817624019c19a77faf4d5633fed5ff36ec27494633f57257b2f7b3a3a60df,0.23318632855567806,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,3,9175501163549009107,75aabf44263a6591967333577e3cf38d69d58f1eea7197b5a6d68fb91be6e48a,347,175,bbebf66195c9bca3b52d79ca4f2e883fb6c9ea230ad22ca05e353c1a865bfacf,0.2450385887541345,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,4,4399866218870652346,c2a8c9029125129315202c2a1240b464b6fd7fe5aa67dc6a483c4069d879398d,347,175,32e7e8e7fb8b92e78433681b7688f3311b42e57024ab1dcf2a06c36ae075b2f2,0.21527012127894157,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,5,2702950597781499620,6cdbd6867dbab1a9efb5ef1c2299707f5f079d83e9db089bcc3e4e856038b048,347,163,5cdabf92892b697372718f1f1a6eceaf2647ec9c9d7c6b7f70917e11ef4d41f6,0.21223814773980154,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,6,10498254514135974961,41061ea271246995cb113784d98066803338c826244167f9d4f33da82cb02f61,347,170,d0af5b4ce76acd6ff54470d95c1cf477d3d4343754b9ee5c227633363067fd3c,0.23566703417861082,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,7,14350954662827249460,5bef7eaf4d87a57ff43492d7215fd8e1d5c96137a70aac5327a50ba623adc483,347,166,9383073206161cac34a4d64552d7eca67ae9945a8798243cb34889947388b9d9,0.24035281146637266,1,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,v16x_random_cost_a0,8,3836715180716314166,c7444ef2bc3e989fe04360fade534c75fa812bd75bb0031d19931fed51fd479d,347,170,eac388b85222c8eed7baff3d4feedfe35c23b24dd866abd6a73f9c45d034eb66,0.20314222712238147,1,0,0
