stage,target_nodes,growth_seed,run_offset,arm,run_seed,relation,left_start_family,left_mask_index,right_start_family,right_mask_index,changed_edge_fraction,source_spectrum_computed,observed_effect_computed
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,1,0.20810363836824697,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,2,0.23566703417861082,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,3,0.24200661521499447,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,4,0.18577728776185226,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,5,0.20479603087100332,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,6,0.21968026460859977,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,7,0.18054024255788312,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,8,0.19928335170893055,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,9,0.188257993384785,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,10,0.24531422271223816,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,11,0.237045203969129,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,12,0.25248070562293273,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,13,0.23511576626240352,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,14,0.21968026460859977,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,within_start,source_assignment,0,source_assignment,15,0.25110253583241454,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,0,0.23318632855567806,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,1,0.19955898566703417,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,2,0.2227122381477398,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,3,0.19487320837927233,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,4,0.23566703417861082,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,5,0.2613009922822492,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,6,0.19487320837927233,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,7,0.24200661521499447,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,8,0.22023153252480707,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,9,0.2249173098125689,0,0
v17h,1536,9299,123078,exposure_matched_local,1993113078,cross_start,source_assignment,0,v16x_random_cost_a0,10,0.2615766262403528,0,0
