event,time,nodes,edges,components,tokens,beta1,E_tokens,E_stress,E_total,avg_degree,clustering,eff_dim,region_tokens,region_tokens_pred,region_residual
500,49.97027321728561,28,52,1,9,25,9.0,0.0,34.0,3.7142857142857144,0.35714285714285715,nan,nan,nan,nan
1000,130.79814529238033,25,28,3,4,6,4.0,0.0,10.0,2.24,0.2253333333333333,nan,nan,nan,nan
1500,6561.101568253733,356,358,4,0,6,0.0,0.0,6.0,2.0112359550561796,0.005773809523809523,1.9386784325010358,nan,nan,nan
2000,17072.10533977439,856,858,4,0,6,0.0,0.0,6.0,2.0046728971962615,0.005202380952380951,2.2308205148517755,nan,nan,nan
2500,26564.957178203436,1356,1358,4,0,6,0.0,0.0,6.0,2.0029498525073746,0.0008333333333333333,2.388297365769126,nan,nan,nan
3000,35166.98715612325,1856,1858,4,0,6,0.0,0.0,6.0,2.002155172413793,0.0003333333333333333,2.6115273288590983,nan,nan,nan
3500,45674.35121546732,2356,2358,4,0,6,0.0,0.0,6.0,2.00169779286927,0.0008333333333333333,1.9707221144669742,nan,nan,nan
4000,55993.224271091625,2856,2858,4,0,6,0.0,0.0,6.0,2.0014005602240896,0.0002380952380952381,2.6335577888011863,nan,nan,nan
4500,66035.50608598633,3356,3358,4,0,6,0.0,0.0,6.0,2.00119189511323,0.00022727272727272727,2.4360900400116803,nan,nan,nan
5000,75833.51566093144,3856,3858,4,0,6,0.0,0.0,6.0,2.0010373443983402,0.0,2.339540852469713,nan,nan,nan
5500,86506.17928235755,4356,4358,4,0,6,0.0,0.0,6.0,2.000918273645546,0.00035714285714285714,2.5433444843757282,nan,nan,nan
6000,96467.7141977991,4856,4858,4,0,6,0.0,0.0,6.0,2.000823723228995,0.0008333333333333333,2.487544075935461,nan,nan,nan
6500,106808.50193571017,5356,5358,4,0,6,0.0,0.0,6.0,2.0007468259895442,0.0,2.070343298588863,nan,nan,nan
7000,116815.10847155379,5856,5858,4,0,6,0.0,0.0,6.0,2.0006830601092895,0.00022727272727272727,2.663817143346783,nan,nan,nan
7500,126282.72068560452,6356,6358,4,0,6,0.0,0.0,6.0,2.000629326620516,0.0,2.443414043080213,nan,nan,nan
8000,136592.50774439613,6856,6858,4,0,6,0.0,0.0,6.0,2.000583430571762,0.0,2.5668613166275813,nan,nan,nan
8500,146449.70568862287,7356,7358,4,0,6,0.0,0.0,6.0,2.0005437737901035,0.0,2.2087809668374065,nan,nan,nan
9000,156306.73833206636,7856,7858,4,0,6,0.0,0.0,6.0,2.00050916496945,0.0,1.9920128587615835,nan,nan,nan
9500,166836.26530288055,8356,8358,4,0,6,0.0,0.0,6.0,2.000478697941599,0.0,2.3027139139714907,nan,nan,nan
10000,176676.80672944867,8856,8858,4,0,6,0.0,0.0,6.0,2.0004516711833786,0.0003333333333333333,2.666477326744542,nan,nan,nan
10500,186277.6481928544,9356,9358,4,0,6,0.0,0.0,6.0,2.0004275331338177,0.0,2.3488006560540198,nan,nan,nan
11000,195730.85192671308,9856,9858,4,0,6,0.0,0.0,6.0,2.000405844155844,0.0,2.112471273419173,nan,nan,nan
